Date,Open,High,Low,Close,Adj Close,Volume,,,,Date,Open,High,Low,Close,Adj Close,Volume
01/10/2019,138.070007,140.190002,137.800003,139.630005,139.630005,12476200,,,,01/10/2019,1.1,1.12,1.038,1.075,1.075,42281191
02/10/2019,140.789993,141.880005,140.460007,141.259995,141.259995,11914300,,,,02/10/2019,1.075,1.068,1.015,1.025,1.025,40437011
03/10/2019,141.360001,143.25,141.289993,141.899994,141.899994,12396100,,,,03/10/2019,1.025,1.05,0.991,1.025,1.025,32892922
04/10/2019,141.479996,142.309998,141.139999,141.899994,141.899994,9651000,,,,04/10/2019,1.025,1.05,1,1.025,1.025,15580966
07/10/2019,141.160004,141.770004,140.240005,140.690002,140.690002,6127200,,,,07/10/2019,1.025,1.1,1.031,1.07,1.07,28934820
08/10/2019,142.029999,142.289993,141.169998,141.919998,141.919998,10428900,,,,08/10/2019,1.125,1.128,1.07,1.075,1.075,34719807
09/10/2019,142.160004,142.580002,141.619995,142.050003,142.050003,6927700,,,,09/10/2019,1.15,1.15,1.05,1.1,1.1,21215164
10/10/2019,141.589996,141.660004,140.580002,140.809998,140.809998,9301700,,,,10/10/2019,1.1,1.11,1.05,1.075,1.075,23152553
11/10/2019,139.970001,140.190002,138.910004,140.029999,140.029999,11333400,,,,11/10/2019,1.075,1.119,1.016,1.05,1.05,49557493
14/10/2019,140.449997,140.820007,140.339996,140.589996,140.589996,4006700,,,,14/10/2019,1.05,1.119,1.016,1.05,1.05,15394638
15/10/2019,140.270004,140.300003,139.210007,139.610001,139.610001,9128300,,,,15/10/2019,1.05,1.188,1.039,1.15,1.15,76931424
16/10/2019,140.139999,140.529999,139.699997,140.410004,140.410004,10330300,,,,16/10/2019,1.15,1.174,1.086,1.125,1.125,32154576
17/10/2019,140.5,141.119995,140.419998,140.610001,140.610001,6131000,,,,17/10/2019,1.125,1.15,1.08,1.125,1.125,22657279
18/10/2019,140.5,140.710007,140.320007,140.460007,140.460007,6416100,,,,18/10/2019,1.125,1.2,1.103,1.14,1.14,46022523
21/10/2019,140.720001,140.759995,139.600006,139.789993,139.789993,8306200,,,,21/10/2019,1.125,1.15,1.077,1.1,1.1,18247479
22/10/2019,140.130005,140.300003,139.720001,140.199997,140.199997,3879700,,,,22/10/2019,1.15,1.2,1.1,1.125,1.125,40048931
23/10/2019,140.589996,141,140.5,140.529999,140.529999,4155300,,,,23/10/2019,1.125,1.15,1.067,1.1,1.1,13494400
24/10/2019,141.020004,141.740005,140.929993,141.529999,141.529999,6174800,,,,24/10/2019,1.1,1.15,1.075,1.1,1.1,17973900
25/10/2019,142.789993,142.830002,141.399994,141.860001,141.860001,6011500,,,,25/10/2019,1.1,1.165,1.087,1.12,1.12,30244260
28/10/2019,141.25,141.25,140.399994,140.639999,140.639999,5442000,,,,28/10/2019,1.125,1.165,1.087,1.15,1.15,54799535
29/10/2019,140,140.630005,139.779999,140.25,140.25,3835400,,,,29/10/2019,1.15,1.15,1.07,1.075,1.075,38469908
30/10/2019,140.539993,141.039993,139.550003,141.020004,141.020004,6992900,,,,30/10/2019,1.075,1.15,1.075,1.1,1.1,33206420
31/10/2019,141.979996,142.690002,141.889999,142.429993,142.429993,7050900,,,,31/10/2019,1.1,1.117,1.075,1.075,1.075,20594423
01/11/2019,142.210007,142.899994,142.009995,142.559998,142.559998,8090000,,,,01/11/2019,1.075,1.169,1.07,1.15,1.15,48441644
04/11/2019,142.259995,142.449997,141.740005,142.149994,142.149994,4740300,,,,04/11/2019,1.2,1.22,1.1,1.125,1.125,40712291
05/11/2019,140.649994,140.889999,139.380005,139.850006,139.850006,11782300,,,,05/11/2019,1.125,1.15,1.077,1.1,1.1,38136705
06/11/2019,140.119995,140.789993,140,140.449997,140.449997,6416500,,,,06/11/2019,1.1,1.12,1.05,1.075,1.075,28013185
07/11/2019,140.110001,140.199997,137.600006,138.270004,138.270004,15214200,,,,07/11/2019,1.075,1.1,1.05,1.075,1.075,46404874
08/11/2019,137.729996,138.330002,137.389999,137.389999,137.389999,10377400,,,,08/11/2019,1.075,1.1,1.05,1.075,1.075,35119976
11/11/2019,137.610001,137.789993,136.440002,137.059998,137.059998,7037300,,,,11/11/2019,1.075,1.1,1.036,1.075,1.075,31415509
12/11/2019,137.029999,137.589996,136.190002,137.429993,137.429993,6448600,,,,12/11/2019,1.15,1.174,1.05,1.075,1.075,48547152
13/11/2019,137.800003,138.220001,137.639999,137.979996,137.979996,8776000,,,,13/11/2019,1.075,1.075,1,1.025,1.025,39032595
14/11/2019,138.389999,138.940002,137.869995,138.559998,138.559998,5220500,,,,14/11/2019,1.025,1.1,1.02,1.025,1.025,18560966
15/11/2019,138.029999,138.419998,137.970001,138.210007,138.210007,10106700,,,,15/11/2019,1.025,1.09,1.028,1.08,1.08,26516476
18/11/2019,138.440002,138.850006,138.300003,138.619995,138.619995,5717900,,,,18/11/2019,1.075,1.098,1.03,1.075,1.075,21737940
19/11/2019,138.130005,138.970001,138.130005,138.690002,138.690002,4824400,,,,19/11/2019,1.075,1.06,1.013,1.025,1.025,22853623
20/11/2019,138.529999,139,138.100006,138.759995,138.759995,6892100,,,,20/11/2019,1.025,1.063,1,1.025,1.025,17605987
21/11/2019,138.389999,138.559998,137.770004,138,138,4197200,,,,21/11/2019,1.025,1.047,1.008,1.03,1.03,28738453
22/11/2019,138.369995,138.460007,137.660004,137.740005,137.740005,3620300,,,,22/11/2019,1.025,1.05,1,1.025,1.025,39067667
25/11/2019,137.320007,137.619995,136.990005,137.080002,137.080002,6415800,,,,25/11/2019,1.025,1.047,1,1.025,1.025,37568791
26/11/2019,136.979996,137.800003,136.580002,137.740005,137.740005,4724400,,,,26/11/2019,1.025,1.036,1,1.025,1.025,24385715
27/11/2019,137.029999,137.210007,136.830002,137.009995,137.009995,4111000,,,,27/11/2019,1.025,1.1,0.977,1.025,1.025,39021113
29/11/2019,137.100006,138.130005,137.080002,137.860001,137.860001,4516400,,,,28/11/2019,1.025,1.038,0.97,1.025,1.025,47318077
,,,,,,,,,,29/11/2019,1.025,1.05,0.987,1.025,1.025,26446469
